Split_width(g),dis_b/w_rings(d),Freq [GHz],s11,vswr
1,0.7,0.825,-0.900935465,25.7107949
1,0.7,0.859375,-0.885790761,25.85778635
1,0.7,0.89375,-0.867753489,26.0361788
1,0.7,0.928125,-0.847472088,26.24126473
1,0.7,0.9625,-0.825535976,26.46870101
1,0.7,0.996875,-0.802469444,26.71449108
1,0.7,1.03125,-0.778729536,26.97496844
1,0.7,1.065625,-0.754707018,27.24678052
1,0.7,1.1,-0.730729597,27.5268729
1,0.7,1.134375,-0.707066662,27.81247349
1,0.7,1.16875,-0.683934909,28.10107681
1,0.7,1.203125,-0.661504382,28.39042839
1,0.7,1.2375,-0.639904552,28.67850939
1,0.7,1.271875,-0.619230171,28.96352161
1,0.7,1.30625,-0.599546737,29.24387288
1,0.7,1.340625,-0.580895464,29.51816294
1,0.7,1.375,-0.563297709,29.78516986
1,0.7,1.409375,-0.546758853,30.04383703
1,0.7,1.44375,-0.531271641,30.29326071
1,0.7,1.478125,-0.516819039,30.53267805
1,0.7,1.5125,-0.50337662,30.7614558
1,0.7,1.546875,-0.490914568,30.97907938
1,0.7,1.58125,-0.479399306,31.18514259
1,0.7,1.615625,-0.468794842,31.37933769
1,0.7,1.65,-0.459063831,31.56144605
1,0.7,1.684375,-0.450168437,31.73132918
1,0.7,1.71875,-0.442070996,31.88892028
1,0.7,1.753125,-0.434734534,32.0342162
1,0.7,1.7875,-0.428123159,32.16726987
1,0.7,1.821875,-0.422202348,32.28818313
1,0.7,1.85625,-0.416939149,32.39710014
1,0.7,1.890625,-0.412302327,32.49420104
1,0.7,1.925,-0.408262448,32.57969627
1,0.7,1.959375,-0.404791924,32.65382112
1,0.7,1.99375,-0.40186503,32.71683094
1,0.7,2.028125,-0.399457896,32.76899657
1,0.7,2.0625,-0.397548476,32.81060031
1,0.7,2.096875,-0.396116515,32.84193227
1,0.7,2.13125,-0.395143498,32.86328708
1,0.7,2.165625,-0.394612596,32.87496097
1,0.7,2.2,-0.394508616,32.87724922
1,0.7,2.234375,-0.394817939,32.87044388
1,0.7,2.26875,-0.395528469,32.85483184
1,0.7,2.303125,-0.39662958,32.83069316
1,0.7,2.3375,-0.398112068,32.79829963
1,0.7,2.371875,-0.399968101,32.75791356
1,0.7,2.40625,-0.402191185,32.70978683
1,0.7,2.440625,-0.404776125,32.65416002
1,0.7,2.475,-0.407718996,32.59126179
1,0.7,2.509375,-0.411017121,32.52130835
1,0.7,2.54375,-0.414669051,32.44450309
1,0.7,2.578125,-0.418674552,32.36103627
1,0.7,2.6125,-0.423034608,32.2710848
1,0.7,2.646875,-0.427751415,32.17481216
1,0.7,2.68125,-0.432828394,32.0723683
1,0.7,2.715625,-0.438270209,31.9638896
1,0.7,2.75,-0.444082793,31.8494989
1,0.7,2.784375,-0.450273376,31.72930554
1,0.7,2.81875,-0.456850534,31.6034054
1,0.7,2.853125,-0.463824236,31.47188096
1,0.7,2.8875,-0.471205908,31.33480138
1,0.7,2.921875,-0.479008507,31.1922225
1,0.7,2.95625,-0.487246603,31.04418696
1,0.7,2.990625,-0.49593648,30.8907242
1,0.7,3.025,-0.505096246,30.73185042
1,0.7,3.059375,-0.514745962,30.56756864
1,0.7,3.09375,-0.524907788,30.39786861
1,0.7,3.128125,-0.535606143,30.22272675
1,0.7,3.1625,-0.5468679,30.04210601
1,0.7,3.196875,-0.558722586,29.85595578
1,0.7,3.23125,-0.571202628,29.66421162
1,0.7,3.265625,-0.584343614,29.46679512
1,0.7,3.3,-0.5981846,29.26361355
1,0.7,3.334375,-0.612768446,29.05455958
1,0.7,3.36875,-0.628142206,28.83951086
1,0.7,3.403125,-0.644357558,28.61832967
1,0.7,3.4375,-0.6614713,28.39086237
1,0.7,3.471875,-0.679545902,28.15693891
1,0.7,3.50625,-0.698650145,27.91637221
1,0.7,3.540625,-0.718859833,27.66895756
1,0.7,3.575,-0.74025861,27.41447188
1,0.7,3.609375,-0.762938891,27.15267296
1,0.7,3.64375,-0.78700292,26.88329866
1,0.7,3.678125,-0.812563986,26.60606603
1,0.7,3.7125,-0.839747806,26.32067035
1,0.7,3.746875,-0.868694119,26.0267842
1,0.7,3.78125,-0.899558516,25.72405641
1,0.7,3.815625,-0.932514546,25.41211103
1,0.7,3.85,-0.967756142,25.0905462
1,0.7,3.884375,-1.005500436,24.75893315
1,0.7,3.91875,-1.045991007,24.41681505
1,0.7,3.953125,-1.089501654,24.06370607
1,0.7,3.9875,-1.136340787,23.69909037
1,0.7,4.021875,-1.186856536,23.32242136
1,0.7,4.05625,-1.241442713,22.93312103
1,0.7,4.090625,-1.300545781,22.53057962
1,0.7,4.125,-1.364673019,22.11415568
1,0.7,4.159375,-1.434402085,21.68317651
1,0.7,4.19375,-1.510392253,21.23693943
1,0.7,4.228125,-1.593397617,20.7747137
1,0.7,4.2625,-1.684282627,20.29574376
1,0.7,4.296875,-1.784040367,19.79925371
1,0.7,4.33125,-1.893814079,19.28445369
1,0.7,4.365625,-2.014922486,18.7505486
1,0.7,4.4,-2.148889547,18.19674963
1,0.7,4.434375,-2.297479376,17.62228958
1,0.7,4.46875,-2.462737079,17.02644268
1,0.7,4.503125,-2.647036313,16.40855022
1,0.7,4.5375,-2.853134343,15.76805337
1,0.7,4.571875,-3.084235201,15.10453489
1,0.7,4.60625,-3.344061196,14.41777205
1,0.7,4.640625,-3.636932317,13.70780345
1,0.7,4.675,-3.9678516,12.97501357
1,0.7,4.709375,-4.342591817,12.22023988
1,0.7,4.74375,-4.767773521,11.44490988
1,0.7,4.778125,-5.250914003,10.65121906
1,0.7,4.8125,-5.80040546,9.842367295
1,0.7,4.846875,-6.425336789,9.022883308
1,0.7,4.88125,-7.134981165,8.199087874
1,0.7,4.915625,-7.937576902,7.379782503
1,0.7,4.95,-8.837626633,6.577307322
1,0.7,4.984375,-9.83016743,5.809179248
1,0.7,5.01875,-10.88930251,5.100511306
1,0.7,5.053125,-11.9480501,4.486958255
1,0.7,5.0875,-12.8737664,4.016038641
1,0.7,5.121875,-13.47093685,3.740569686
1,0.7,5.15625,-13.56865305,3.697441268
1,0.7,5.190625,-13.15723878,3.882673466
1,0.7,5.225,-12.39656133,4.251761455
1,0.7,5.259375,-11.4832874,4.74569014
1,0.7,5.29375,-10.55512354,5.31301856
1,0.7,5.328125,-9.682887596,5.91630813
1,0.7,5.3625,-8.894571355,6.53014681
1,0.7,5.396875,-8.196247695,7.137586169
1,0.7,5.43125,-7.584149412,7.72729503
1,0.7,5.465625,-7.050705709,8.291656539
1,0.7,5.5,-6.587357077,8.825554346
1,0.7,5.534375,-6.18579471,9.325596964
1,0.7,5.56875,-5.838455583,9.789611139
1,0.7,5.603125,-5.538673224,10.21630113
1,0.7,5.6375,-5.280674196,10.60501259
1,0.7,5.671875,-5.059510259,10.95556449
1,0.7,5.70625,-4.870968585,11.26812662
1,0.7,5.740625,-4.711479613,11.54312869
1,0.7,5.775,-4.578031099,11.78119194
1,0.7,5.809375,-4.468091615,11.98307724
1,0.7,5.84375,-4.379544193,12.14964543
1,0.7,5.878125,-4.310629671,12.28182715
1,0.7,5.9125,-4.259898775,12.38059991
1,0.7,5.946875,-4.226171863,12.44697106
1,0.7,5.98125,-4.208505215,12.48196548
1,0.7,6.015625,-4.206162873,12.48661711
1,0.7,6.05,-4.218593087,12.4619639
1,0.7,6.084375,-4.245408553,12.40904552
1,0.7,6.11875,-4.286369682,12.32890369
1,0.7,6.153125,-4.34137021,12.22258474
1,0.7,6.1875,-4.4104245,12.09114431
1,0.7,6.221875,-4.493655895,11.935654
1,0.7,6.25625,-4.591285459,11.75720999
1,0.7,6.290625,-4.703620427,11.55694334
1,0.7,6.325,-4.831041591,11.33603211
1,0.7,6.359375,-4.973988778,11.09571511
1,0.7,6.39375,-5.132943431,10.8373071
1,0.7,6.428125,-5.308407156,10.56221548
1,0.7,6.4625,-5.500874959,10.27195805
1,0.7,6.496875,-5.710801668,9.968181477
1,0.7,6.53125,-5.938559935,9.652680199
1,0.7,6.565625,-6.184388109,9.327414728
1,0.7,6.6,-6.448326349,8.994528573
1,0.7,6.634375,-6.730139728,8.656362243
1,0.7,6.66875,-7.029227925,8.3154624
1,0.7,6.703125,-7.344522788,7.974583516
1,0.7,6.7375,-7.674377847,7.636678492
1,0.7,6.771875,-8.016458315,7.304873751
1,0.7,6.80625,-8.367646385,6.982423288
1,0.7,6.840625,-8.723984648,6.672635487
1,0.7,6.875,-9.080689032,6.378766626
1,0.7,6.909375,-9.432268847,6.103876699
1,0.7,6.94375,-9.77279057,5.850647411
1,0.7,6.978125,-10.09630764,5.621169467
1,0.7,7.0125,-10.39744657,5.416716263
1,0.7,7.046875,-10.6720926,5.237531581
1,0.7,7.08125,-10.91806963,5.082665832
1,0.7,7.115625,-11.13568319,4.949894193
1,0.7,7.15,-11.32801245,4.835738157
1,0.7,7.184375,-11.500902,4.735591876
1,0.7,7.21875,-11.66269214,4.643933144
1,0.7,7.253125,-11.82380191,4.554584235
1,0.7,7.2875,-11.99631296,4.460984927
1,0.7,7.321875,-12.19369221,4.356448336
1,0.7,7.35625,-12.43075611,4.234384927
1,0.7,7.390625,-12.72394642,4.088496102
1,0.7,7.425,-13.09197575,3.912953148
1,0.7,7.459375,-13.55692208,3.702590934
1,0.7,7.49375,-14.14590275,3.45316375
1,0.7,7.528125,-14.89351911,3.161746633
1,0.7,7.5625,-15.84520218,2.827454774
1,0.7,7.596875,-17.06073936,2.452902234
1,0.7,7.63125,-18.6121638,2.047579734
1,0.7,7.665625,-20.54271594,1.636782632
1,0.7,7.7,-22.62571152,1.286327194
1,0.7,7.734375,-23.64024991,1.144087065
1,0.7,7.76875,-22.1940598,1.352125779
1,0.7,7.803125,-19.54273199,1.837908491
1,0.7,7.8375,-17.01349889,2.466459328
1,0.7,7.871875,-14.88653891,3.164345092
1,0.7,7.90625,-13.13218829,3.894266338
1,0.7,7.940625,-11.68247833,4.632857625
1,0.7,7.975,-10.47912518,5.362718358
1,0.7,8.009375,-9.477092867,6.069830417
1,0.7,8.04375,-8.641617578,6.742756498
1,0.7,8.078125,-7.945316448,7.372391128
1,0.7,8.1125,-7.366176609,7.951831088
1,0.7,8.146875,-6.886242417,8.476217732
1,0.7,8.18125,-6.490748419,8.942517468
1,0.7,8.215625,-6.167518991,9.349252401
1,0.7,8.25,-5.906526543,9.69620773
1,0.7,8.284375,-5.699547842,9.98414229
1,0.7,8.31875,-5.53988615,10.21452225
1,0.7,8.353125,-5.422142106,10.38929001
1,0.7,8.3875,-5.342023951,10.51067351
1,0.7,8.421875,-5.296191381,10.58103573
1,0.7,8.45625,-5.282128979,10.60276133
1,0.7,8.490625,-5.298046073,10.57817517
1,0.7,8.525,-5.342800385,10.50948737
1,0.7,8.559375,-5.41584342,10.39875955
1,0.7,8.59375,-5.517186092,10.24788745
1,0.7,8.628125,-5.647383817,10.05859598
1,0.7,8.6625,-5.807541146,9.832443592
1,0.7,8.696875,-5.999337091,9.570833487
1,0.7,8.73125,-6.225073684,9.275029824
1,0.7,8.765625,-6.487752248,8.946177722
1,0.7,8.8,-6.791184584,8.585326148
1,0.7,8.834375,-7.140150415,8.193453185
1,0.7,8.86875,-7.540618847,7.771493392
1,0.7,8.903125,-8.000061994,7.320367216
1,0.7,8.9375,-8.527906314,6.841012647
1,0.7,8.971875,-9.136197486,6.334419646
1,0.7,9.00625,-9.840609609,5.801668601
1,0.7,9.040625,-10.66203405,5.243975541
1,0.7,9.075,-11.62919343,4.662750453
1,0.7,9.109375,-12.78317752,4.059684091
1,0.7,9.14375,-14.1858428,3.436903983
1,0.7,9.178125,-15.93666447,2.797320492
1,0.7,9.2125,-18.20996625,2.145588887
1,0.7,9.246875,-21.34498561,1.491627947
1,0.7,9.28125,-26.01461719,0.869913855
1,0.7,9.315625,-30.73308982,0.505024138
1,0.7,9.35,-25.98065602,0.873327544
1,0.7,9.384375,-21.18713004,1.519122728
1,0.7,9.41875,-17.93985879,2.214083961
1,0.7,9.453125,-15.56306731,2.922546211
1,0.7,9.4875,-13.71544286,3.633640851
1,0.7,9.521875,-12.22204561,4.341651048
1,0.7,9.55625,-10.98326498,5.042478623
1,0.7,9.590625,-9.937211486,5.73271069
1,0.7,9.625,-9.042721927,6.409309271
1,0.7,9.659375,-8.270908188,7.069489811
1,0.7,9.69375,-7.600608989,7.710664936
1,0.7,9.728125,-7.01578101,8.330411718
1,0.7,9.7625,-6.503922472,8.926447077
1,0.7,9.796875,-6.055078089,9.496605711
1,0.7,9.83125,-5.661186737,10.03881916
1,0.7,9.865625,-5.315639014,10.55109658
1,0.7,9.9,-5.012967464,11.03150903
1,0.7,9.934375,-4.748622833,11.47817955
1,0.7,9.96875,-4.518807233,11.8892823
1,0.7,10.003125,-4.320345296,12.26305419
1,0.7,10.0375,-4.150580499,12.5978231
1,0.7,10.071875,-4.007287492,12.89205681
1,0.7,10.10625,-3.888593433,13.14443665
1,0.7,10.140625,-3.792902658,13.35395899
1,0.7,10.175,-3.718819894,13.52006523
1,0.7,10.209375,-3.665068162,13.64279792
1,0.7,10.24375,-3.630398713,13.72297493
1,0.7,10.278125,-3.613492502,13.76236671
1,0.7,10.3125,-3.612855934,13.76385373
1,0.7,10.346875,-3.62671842,13.73153354
1,0.7,10.38125,-3.652945105,13.67074226
1,0.7,10.415625,-3.688983971,13.58795644
1,0.7,10.45,-3.731869975,13.49055128
1,0.7,10.484375,-3.778306724,13.38641151
1,0.7,10.51875,-3.824835577,13.28342004
1,0.7,10.553125,-3.868082476,13.18888129
1,0.7,10.5875,-3.905048469,13.10896095
1,0.7,10.621875,-3.933389603,13.04823198
1,0.7,10.65625,-3.951626082,13.00940156
1,0.7,10.690625,-3.959234594,12.99325751
1,0.7,10.725,-3.956608117,12.99882673
1,0.7,10.759375,-3.944901867,13.02369693
1,0.7,10.79375,-3.925808957,13.06442983
1,0.7,10.828125,-3.901316933,13.11699184
1,0.7,10.8625,-3.873487923,13.17714405
1,0.7,10.896875,-3.844287986,13.24075654
1,0.7,10.93125,-3.815473557,13.30403541
